name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,nickname,ra,dec
4FGL J0919.5-6203,0.0,2.29999523,0.2839635670429663,3.281376625079502,0.1525485014833509,-11.588296194363794,bll,139.5240263743326,0.0464228133093829,-8.774644949158887,P88Y2273,139.81001556226312,-62.09210985525068
4FGL J0924.1-5202,0.0,2.26311549,0.1658516211677452,3.009667163787191,0.0226608874330669,-11.016325399750995,bll,105.70363738853484,0.1298844052836695,-1.2984843581524954,605N-0582,140.97888547719336,-52.12686021535362
4FGL J0926.1-5336,0.0,2.14587952,0.8109957272200985,3.435443175743135,0.0373045719607458,-11.501037163150837,X,120.2077335100621,0.057962247957413,-2.137890584714968,P88Y2294,141.51222037610685,-53.61268280873423
4FGL J0928.3-2713,0.3010299956639812,2.06935854,-0.0220972782614348,3.532136713972845,0.2921918663378195,-11.947180657212265,bll,27.617006745538674,0.0694476500887783,16.98922552224756,011F-0086,142.11839644082175,-27.22633766216936
4FGL J0928.4-5256,0.3010299956639812,2.0628483,0.0423451391217355,3.6842030001374635,0.0246894531847384,-11.15796028006234,bll,186.3648990625516,0.0384080780182831,-1.414745221631292,P88Y2299,142.08436942839197,-52.93865534443197
4FGL J0928.5+3916,0.47712125471966244,1.96585573,0.8329229072473243,3.437497325079856,0.724970738439703,-12.426500559127533,X,25.592612886917777,0.0986437529942335,46.46641367047692,998P-0054,142.15331797785464,39.2736050683259
4FGL J0928.7-2541,0.3010299956639812,2.04613523,-0.0011242319947091,3.604745119143229,0.3105828363397632,-12.008222247826401,bll,26.58487742196303,0.064444864932596,18.094358416064036,404F-0208,142.19263720201323,-25.697647220195748
4FGL J0929.3-4110,0.3010299956639812,1.66998985,0.0584501240838697,4.141825539506284,0.1255506483128003,-11.838903852591528,bll,59.74887639167719,0.0305297071415037,7.2125561288536675,P88Y2307,142.35005336430584,-41.196495545418045
4FGL J0930.1-5059,0.0,2.62374755,0.2495069280803341,3.1397906127236546,0.0033527854409342,-11.258043051415019,fsrq,65.50450036302209,0.11448551097423,0.1921008152859151,211F-0539,142.54180465309426,-50.99325658676321
4FGL J0930.9-3030,0.3010299956639812,1.95445286,-0.0029469787052982,3.7325159967309895,0.2601603511849412,-11.723253126351473,bll,71.80803513620049,0.0420108603778953,15.07957702642195,P88Y2317,142.7421685505499,-30.510209882177357
4FGL J0931.4-3559,0.47712125471966244,1.92268225,0.3163265525103931,3.7269022854510823,0.1950582148687933,-11.867411074732054,bll,74.5401723596733,0.0425348302711047,11.248124362098194,P88Y2320,142.8668716586606,-35.98451425619213
4FGL J0932.1+3634,0.0,2.07706615,-0.0667341612026084,3.5690374386272987,0.732730709181127,-12.034415713865963,bll,35.92004704481224,0.0386061930655542,47.1158102115869,605H-0022,143.0270965432973,36.581182771381286
4FGL J0933.8-6232,0.3010299956639812,1.94826915,0.6024177835984024,3.326827245122907,0.13761836031931,-10.905860000031158,X,2594.7578828642145,0.0163076023536545,-7.910054367432643,P88Y2328,143.45015047586267,-62.54281609267398
4FGL J0934.5+7223,0.7781512503836436,2.71440217,0.0936709643084454,2.756539333229946,0.6101848886723273,-11.802516820551109,fsrq,47.20491658942774,0.1713676296875773,37.60287282017084,P88Y2335,143.79831600015532,72.50770859308032
4FGL J0935.5+1152,0.6020599913279624,1.8978851,0.1360925829042236,3.7565723029443796,0.6654433487402908,-12.233106407613034,bll,25.11069911258528,0.0633571737507769,41.71634689186652,P88Y2334,143.87949507277727,11.87390840822692
4FGL J0938.8+5155,1.041392685158225,2.44561921,-0.0025305788380447,3.099585154120615,0.7252726405797327,-11.808195653908582,fsrq,56.95941269607283,0.0951320898480777,46.491533040005336,P88Y2341,144.7117462872477,51.88754998476213
4FGL J0944.3-0911,0.47712125471966244,1.71086859,0.1002853751090659,3.5198610345887955,0.5288283121072803,-11.970418001905614,bll,48.15277338435408,0.0596161510413809,31.92632273209446,998N-0093,146.0836144535776,-9.19370389730154
4FGL J0944.6+5729,0.7781512503836436,1.81293662,0.1580148530427594,3.8569109736142044,0.7123555155289999,-12.261108776229305,bll,32.36185437242966,0.0526013552311786,45.42689115697115,504H-0080,146.1417843192639,57.513056326821555
4FGL J0944.7-5124,0.3010299956639812,2.01704989,0.2731299357750516,3.616900647592803,0.0244973740646071,-11.596116345861022,bll,80.05501807946712,0.0548069910872675,1.4037365689799837,P88Y2361,146.13893997346344,-51.384537723634885
4FGL J0946.7+0548,0.3010299956639812,2.2687815,0.2009682429860437,3.199242887640771,0.6590638542423997,-12.081080256544686,bll,25.76837384066312,0.1280155996402139,41.22851601952669,03bP-0023,146.66921753305803,5.804324321470367
4FGL J0947.0-3548,0.0,2.52352227,0.6638963607725867,2.9529373397420833,0.2348810287009894,-11.724756515739637,X,53.585974384099245,0.1779419523091096,13.584609929355262,P88Y2368,146.8296825718236,-35.76456940608276
4FGL J0947.8-4234,0.0,2.26005526,0.12922313956919,3.3661710956394884,0.1471492926167973,-11.637136350554428,bll,61.4614892534446,0.0512199000783408,8.461759843530267,P88Y2373,147.05372001232448,-42.66703773929417
4FGL J0948.0-3859,0.47712125471966244,2.70733147,0.1404814991647796,2.9490377963074774,0.1963747395801017,-11.565879306203682,fsrq,39.41793753649108,0.304877376966785,11.32504324910072,504P-0313,147.1056188642139,-38.94303074677801
4FGL J0949.8+7551,0.0,2.26197367,0.2117096844629906,3.1299597566841864,0.5947612693305311,-11.749995916227785,bll,161.97977876337245,0.0588445572992241,36.49561540248847,P88Y2382,147.45559282579694,75.86654615793688
4FGL J0951.8-5944,0.0,2.6035603,0.2609059201871933,3.0776564818868812,0.0760739717529619,-11.272859792045091,fsrq,115.11567393597215,0.1084672945474206,-4.362932662909568,605F-0679,147.94265327556084,-59.725738110806304
4FGL J0952.5-3902,0.3010299956639812,1.24379519,0.4717594316599349,3.1334669413733454,0.2057304167221593,-11.911619596778355,psr-like,25.08056637318805,0.2455863659028963,11.872260283443415,211N-0216,148.12637825504828,-38.897412290743105
4FGL J0953.6-1509,0.0,1.9700125,0.5137143977206438,3.1831134979886966,0.4940992438943646,-11.1789291997275,X,1198.0273659920786,0.0255980293449853,29.61037098552988,P88Y2399,148.41360442587217,-15.152052193763808
