name,ts,r95,eflux100,glat,glon,nbb,delta,variability,pindex,curvature,singlat,category,uwname
4FGL J2232.8+1334,38.3553,0.065944,7.594e-13,-37.2017,79.0267,1,0.0185507,10.7072,1.74058,0.519848,-0.604623,bll,J2232.9+1335
4FGL J2233.3+6530,184.814,0.0791351,5.78846e-12,6.37011,109.231,1,0.031127,11.6365,2.65035,0.604616,0.11095,unid,J2233.1+6529
4FGL J2233.9-1229,48.2308,0.0655497,7.31647e-13,-54.6619,50.5316,1,0.0211687,12.5546,1.79967,0.708736,-0.815753,bcu,J2233.9-1229
4FGL J2234.1-2656,1424.74,0.021205,1.01465e-11,-59.509,25.2823,7,0.0201781,204.204,2.07607,0.0559609,-0.861709,bll,J2234.0-2656
4FGL J2234.2-4156,171.244,0.0315911,2.01633e-12,-58.3865,355.987,3,0.0274121,40.0306,1.89382,0.0968644,-0.851603,unid,J2234.2-4158
4FGL J2234.7+0943,1353.35,0.0232192,1.04657e-11,-40.4537,76.2793,42,0.0142223,23.4539,1.35693,0.200355,-0.648833,psr,J2234.8+0943
4FGL J2234.8-2610,33.9617,0.0799476,1.18183e-12,-59.55,26.775,1,0.0259117,18.7987,2.16992,0.0184815,-0.862072,unid,J2234.7-2611
4FGL J2235.1-0623,60.238,0.0667281,9.08429e-13,-51.5413,59.2695,1,0.0568928,27.0564,2.01413,0.850274,-0.783056,bcu,J2234.9-0624
4FGL J2235.3+1818,159.31,0.054951,2.25226e-12,-33.8788,83.1747,10,0.0294711,18.1073,2.15638,0.268096,-0.557438,bll,J2235.4+1817
4FGL J2235.3-4836,996.353,0.0318108,8.0372e-12,-56.0819,344.48,18,0.00829182,220.879,2.38621,0.0740913,-0.829836,fsrq,J2235.3-4835
4FGL J2235.8-3627,1385.42,0.0238336,8.61283e-12,-59.9119,6.3345,8,0.0108245,99.305,2.14735,0.0912616,-0.865256,bll,J2235.9-3627
4FGL J2236.2-1706,277.711,0.0366399,4.32354e-12,-57.2457,43.6205,4,0.00331837,12.0124,2.24234,0.0372744,-0.840998,bll,J2236.2-1706
4FGL J2236.3+2828,16825.7,0.0119192,4.67858e-11,-25.6523,90.1247,53,0.00546706,1281.4,2.10607,0.132099,-0.432909,fsrq,J2236.4+2829
4FGL J2236.4-2309,303.46,0.0698888,3.83522e-12,-59.2919,32.7803,8,0.00410945,54.4355,2.51286,0.479944,-0.85978,bcu,J2236.4-2309
4FGL J2236.5-1433,15629.5,0.0117385,5.27518e-11,-56.2163,47.8767,67,0.00253806,1889.91,2.12789,0.0752483,-0.831142,bll,J2236.5-1433
4FGL J2236.6+3706,48.1171,0.0411829,1.3554e-12,-18.3663,95.1234,2,0.0261018,24.9394,1.92101,-0.0349612,-0.31509,bll,J2236.5+3706
4FGL J2236.9+1839,39.1821,0.0490145,6.48134e-13,-33.7958,83.8099,1,0.0072189,8.94839,1.78623,0.581855,-0.556235,unid,J2237.0+1840
4FGL J2237.0-3921,259.245,0.0376895,4.01909e-12,-59.5915,0.614462,9,0.00605257,197.878,2.50226,-0.00549838,-0.862438,fsrq,J2237.0-3921
4FGL J2237.2-6726,76.6552,0.0522668,1.26304e-12,-44.8759,320.315,1,0.0254044,20.9489,2.03882,0.0861663,-0.705574,unid,J2237.3-6727
4FGL J2237.4+5124,57.6999,0.0582262,1.86414e-12,-6.10696,102.684,5,0.00651767,16.9487,2.21748,0.0876272,-0.106385,bcu,J2237.4+5125
4FGL J2237.6-5126,130.824,0.145587,3.30848e-12,-55.07,339.687,2,0.0589302,26.471,3,0.321049,-0.819852,unid,J2238.0-5127
4FGL J2237.8+2430,35.7995,0.0451146,5.91239e-13,-29.1097,87.9179,1,0.0317817,8.73476,1.65268,0.58379,-0.486483,unid,J2237.6+2431
4FGL J2238.5+5903,8190.25,0.0148209,6.28324e-11,0.483321,106.568,1,0.00872384,13.6166,1.49476,0.263128,0.00843544,psr,J2238.5+5903
4FGL J2239.2-5657,34.4416,0.0654561,6.1364e-13,-51.6635,328.277,3,2.27047,16.7554,1.94217,0.204112,-0.784381,fsrq,J2247.5-5856
4FGL J2239.5-2440,36.7363,0.0500737,8.51815e-13,-60.3335,30.1865,5,0.0124902,12.5897,1.78346,-0.0776897,-0.868921,bcu,J2239.6-2439
4FGL J2240.3-5241,244.05,0.025851,5.96862e-12,-54.724,337.548,2,0.0110017,23.6662,2.15961,0.0363997,-0.81638,unid,J2240.3-5240
4FGL J2240.3-1246,56.9211,0.0467034,1.3047e-12,-56.1711,51.4447,25,0.0186274,10.9711,1.77915,-0.016959,-0.830704,bcu,J2240.3-1247
4FGL J2240.4+5133,210.087,0.0549503,6.34628e-12,-6.21148,103.16,9,3.78421e-05,84.2619,2.64081,0.0847769,-0.108199,bcu,J2240.4+5133
4FGL J2240.6+5833,385.638,0.041318,9.82923e-12,-0.105148,106.575,1,0.0114833,5.59597,1.30424,0.351765,-0.00183517,psr,J2240.7+5833
4FGL J2240.7-4746,142.642,0.0293362,2.46799e-12,-57.2579,345.059,3,0.00356199,17.1526,2.24293,-0.0446491,-0.841113,bcu,J2240.7-4746
4FGL J2240.9-1825,42.0799,0.0625891,6.31701e-13,-59.4172,44.493,1,1.35661,25.2498,1.78293,0.531383,-0.860895,bcu,J2245.3-1733
4FGL J2241.1-4122,32.9435,0.050938,4.67476e-13,-59.7783,356.353,1,0.00868466,9.54047,1.56521,0.769261,-0.864084,bcu,J2241.0-4122
4FGL J2241.2+4303,78.8306,0.0966393,2.02687e-12,-13.6885,99.0904,3,0.032135,11.4347,2.45658,0.637999,-0.236642,unid,J2241.3+4304
4FGL J2241.2+4120,278.058,0.0289498,5.70366e-12,-15.1924,98.1787,27,0.00677582,18.6665,2.26435,0.0519447,-0.262061,bll,J2241.2+4120
4FGL J2241.3+2943,135.157,0.0337814,2.72293e-12,-25.1976,91.87,9,0.00540568,26.7176,2.04778,-0.0319633,-0.425741,bcu,J2241.3+2942
4FGL J2241.4-8327,185.485,0.0407077,2.54347e-12,-32.5858,307.097,3,0.00481818,18.772,2.14558,0.359341,-0.538561,unid,J2241.5-8327
4FGL J2241.5+0454,36.7871,0.0640771,9.55459e-13,-45.1638,73.5942,4,0.00798993,21.5977,1.7386,0.0800319,-0.709125,bcu,J2241.5+0454
4FGL J2241.7-5236,8804.13,0.0134823,2.56118e-11,-54.937,337.442,3,0.00680861,8.67999,1,0.447967,-0.818521,psr,J2241.7-5236
4FGL J2241.9+5729,43.3323,0.206668,3.03721e-12,-1.11596,106.198,1,0.0132356,13.0376,1.6687,0.395052,-0.019476,other,J2241.9+5729
4FGL J2243.4-2544,2329.14,0.0189951,1.48668e-11,-61.3865,28.3487,10,0.0114471,40.8676,2.14355,0.0763532,-0.87787,bll,J2243.4-2544
4FGL J2243.5-3931,136.052,0.0468477,2.83044e-12,-60.7156,359.655,4,0.0375048,23.8087,2.56717,-0.056309,-0.872202,bcu,J2243.3-3932
4FGL J2243.5+3220,25.2081,0.0466675,5.02605e-13,-23.1965,93.7998,5,4.07814e-05,10.7992,1.88606,0.292707,-0.393886,bcu,J2243.5+3220
4FGL J2243.7-1231,255.441,0.0334624,5.3617e-12,-56.7346,52.6226,48,0.00955711,8.92371,2.22359,-0.0564467,-0.836139,bll,J2243.6-1231
4FGL J2243.8-2510,112.748,0.134287,3.64013e-12,-61.4146,29.4785,8,0.0585016,42.6709,2.77422,0.125584,-0.878105,bcu,J2243.9-2513
4FGL J2243.9+2021,9405.82,0.0109971,4.02528e-11,-33.3688,86.5758,22,0.00533919,163.042,1.81878,0.0812811,-0.550026,bll,J2243.9+2021
